"BinNo","MemberName"
"404591","T.C.ZİRAAT BANKASI"
"407814","T.C.ZİRAAT BANKASI"
"413226","T.C.ZİRAAT BANKASI"
"444676","T.C.ZİRAAT BANKASI"
"444677","T.C.ZİRAAT BANKASI"
"444678","T.C.ZİRAAT BANKASI"
"447504","T.C.ZİRAAT BANKASI"
"454671","T.C.ZİRAAT BANKASI"
"454672","T.C.ZİRAAT BANKASI"
"454673","T.C.ZİRAAT BANKASI"
"454674","T.C.ZİRAAT BANKASI"
"469884","T.C.ZİRAAT BANKASI"
"476619","T.C.ZİRAAT BANKASI"
"512440","T.C.ZİRAAT BANKASI"
"513662","T.C.ZİRAAT BANKASI"
"516932","T.C.ZİRAAT BANKASI"
"523529","T.C.ZİRAAT BANKASI"
"527682","T.C.ZİRAAT BANKASI"
"528208","T.C.ZİRAAT BANKASI"
"530905","T.C.ZİRAAT BANKASI"
"531102","T.C.ZİRAAT BANKASI"
"533154","T.C.ZİRAAT BANKASI"
"534981","T.C.ZİRAAT BANKASI"
"540130","T.C.ZİRAAT BANKASI"
"540134","T.C.ZİRAAT BANKASI"
"542374","T.C.ZİRAAT BANKASI"
"546957","T.C.ZİRAAT BANKASI"
"547287","T.C.ZİRAAT BANKASI"
"549449","T.C.ZİRAAT BANKASI"
"676123","T.C.ZİRAAT BANKASI"
"676124","T.C.ZİRAAT BANKASI"
"415514","T.HALK BANKASI"
"415515","T.HALK BANKASI"
"421030","T.HALK BANKASI"
"440776","T.HALK BANKASI"
"447505","T.HALK BANKASI"
"451454","T.HALK BANKASI"
"492094","T.HALK BANKASI"
"492095","T.HALK BANKASI"
"498852","T.HALK BANKASI"
"499821","T.HALK BANKASI"
"510056","T.HALK BANKASI"
"521378","T.HALK BANKASI"
"526289","T.HALK BANKASI"
"526290","T.HALK BANKASI"
"540435","T.HALK BANKASI"
"543081","T.HALK BANKASI"
"552879","T.HALK BANKASI"
"588843","T.HALK BANKASI"
"639001","T.HALK BANKASI"
"676258","T.HALK BANKASI"
"979210","T.HALK BANKASI"
"979212","T.HALK BANKASI"
"402940","T. VAKIFLAR BANKASI T.A.O."
"409084","T. VAKIFLAR BANKASI T.A.O."
"411724","T. VAKIFLAR BANKASI T.A.O."
"411942","T. VAKIFLAR BANKASI T.A.O."
"411943","T. VAKIFLAR BANKASI T.A.O."
"411944","T. VAKIFLAR BANKASI T.A.O."
"411979","T. VAKIFLAR BANKASI T.A.O."
"415792","T. VAKIFLAR BANKASI T.A.O."
"416757","T. VAKIFLAR BANKASI T.A.O."
"428945","T. VAKIFLAR BANKASI T.A.O."
"442671","T. VAKIFLAR BANKASI T.A.O."
"459252","T. VAKIFLAR BANKASI T.A.O."
"479908","T. VAKIFLAR BANKASI T.A.O."
"479909","T. VAKIFLAR BANKASI T.A.O."
"491005","T. VAKIFLAR BANKASI T.A.O."
"493840","T. VAKIFLAR BANKASI T.A.O."
"493841","T. VAKIFLAR BANKASI T.A.O."
"493846","T. VAKIFLAR BANKASI T.A.O."
"520017","T. VAKIFLAR BANKASI T.A.O."
"540045","T. VAKIFLAR BANKASI T.A.O."
"540046","T. VAKIFLAR BANKASI T.A.O."
"542119","T. VAKIFLAR BANKASI T.A.O."
"542798","T. VAKIFLAR BANKASI T.A.O."
"542804","T. VAKIFLAR BANKASI T.A.O."
"547244","T. VAKIFLAR BANKASI T.A.O."
"552101","T. VAKIFLAR BANKASI T.A.O."
"554548","T. VAKIFLAR BANKASI T.A.O."
"589311","T. VAKIFLAR BANKASI T.A.O."
"979209","T. VAKIFLAR BANKASI T.A.O."
"402142","TÜRK EKONOMİ BANKASI"
"402458","TÜRK EKONOMİ BANKASI"
"402459","TÜRK EKONOMİ BANKASI"
"404315","TÜRK EKONOMİ BANKASI"
"406015","TÜRK EKONOMİ BANKASI"
"413528","TÜRK EKONOMİ BANKASI"
"427308","TÜRK EKONOMİ BANKASI"
"427707","TÜRK EKONOMİ BANKASI"
"438040","TÜRK EKONOMİ BANKASI"
"440247","TÜRK EKONOMİ BANKASI"
"440273","TÜRK EKONOMİ BANKASI"
"440293","TÜRK EKONOMİ BANKASI"
"440294","TÜRK EKONOMİ BANKASI"
